frequency,psd
0.1,84.67621153610247
0.2,79.1541589919822
0.3,12.114619789132686
0.4,58.32230953075106
0.5,44.494428901433686
0.6,25.066138586813942
0.7,28.21893050793168
0.7999999999999999,36.59012005990776
0.8999999999999999,33.29241914421134
0.9999999999999999,18.791052936135742
1.0999999999999999,75.21672472103187
1.2,56.73263639752102
1.3,64.46801765078231
1.4,37.903289071364455
1.5,26.719829437621623
1.5999999999999999,11.961872641655034
1.7,81.23954091091733
1.8,37.46941714312604
1.9,88.62367949088083
2.0,92.7637419845505
2.0999999999999996,17.387319073434867
2.1999999999999997,10.099892471906776
2.3,85.34309360099631
2.4,28.15889451214253
2.5,21.002144558770738
2.6,33.57651659693144
2.6999999999999997,71.39020738847692
2.8,97.5619527221865
2.9,83.4233377148667
3.0,55.99295073186359
3.0999999999999996,61.36306348208205
3.1999999999999997,35.93628653763706
3.3,54.57332453145242
3.4,93.52471670740836
3.5,59.258854974308946
3.5999999999999996,29.35138249416941
3.6999999999999997,41.71518452473183
3.8,70.32927256973613
3.9,26.35860860753321
3.9999999999999996,52.521840955740174
4.1,24.49636016286843
4.199999999999999,99.76201395702932
4.299999999999999,18.01366930601053
4.3999999999999995,18.957533978018688
4.499999999999999,82.35828221855104
4.6,94.39742846076243
4.699999999999999,26.42675919427648
4.799999999999999,16.616962722804313
4.8999999999999995,62.731486397502245
4.999999999999999,40.88228404050944
5.1,42.189675229470375
5.199999999999999,69.86664243807695
5.299999999999999,29.204316959574896
5.3999999999999995,63.56185780460103
5.499999999999999,95.38401468618194
5.599999999999999,48.20445507559192
5.699999999999999,35.674967004260296
5.799999999999999,82.93251245090397
5.8999999999999995,54.060405259365375
5.999999999999999,47.87535503644257
6.099999999999999,15.404263375757054
6.199999999999999,47.67006911748628
6.299999999999999,33.60748870733253
6.3999999999999995,66.7704000797262
6.499999999999999,90.7276067703024
6.599999999999999,79.08378919058445
6.699999999999999,65.68920598103259
6.799999999999999,14.585317958709034
6.8999999999999995,53.165167134669126
6.999999999999999,98.99758222668744
7.099999999999999,48.28818160964042
7.199999999999999,76.12145341505457
7.299999999999999,93.3260751993429
7.3999999999999995,93.01964365711952
7.499999999999999,13.205010090363228
7.599999999999999,75.56451772420647
7.699999999999999,51.15709599363503
7.799999999999999,38.03760364820013
7.899999999999999,47.916348873246406
7.999999999999999,91.74340741652193
8.1,11.128914151325732
8.2,37.74364443911948
8.299999999999999,55.72562321742567
8.399999999999999,50.86125455420267
8.499999999999998,90.451617684723
8.6,42.10471182672717
8.7,24.78058275518944
8.799999999999999,89.1790275732776
8.899999999999999,10.415017056086715
8.999999999999998,97.60448538070912
9.1,12.155314340646331
9.2,18.314038802334935
9.299999999999999,64.10873071207897
9.399999999999999,85.95151101987908
9.499999999999998,35.70246708518471
9.6,94.58040709469513
9.7,13.258770879724285
9.799999999999999,80.23196048062772
9.899999999999999,38.34505145544607
9.999999999999998,50.64700185642512
10.1,54.01845781407755
10.2,49.10309994465547
10.299999999999999,17.36612383872234
10.399999999999999,30.977080926659017
10.499999999999998,39.273004243803214
10.6,35.853487322965485
10.7,35.87967202829438
10.799999999999999,71.20748494058614
10.899999999999999,88.79701385941048
10.999999999999998,86.09692911843983
11.099999999999998,22.001541230195325
11.2,99.1946740968925
11.299999999999999,49.48132519684407
11.399999999999999,79.31211213363405
11.499999999999998,76.73555792128002
11.599999999999998,49.88316844900803
11.7,35.72047885291244
11.799999999999999,24.60340836380805
11.899999999999999,73.55033927401237
11.999999999999998,20.911387573608874
12.099999999999998,43.80518324679379
12.2,73.57570483878322
12.299999999999999,72.1438250576872
12.399999999999999,48.523007380250654
12.499999999999998,82.68189038420381
12.599999999999998,99.64570206196467
12.7,83.38830326321488
12.799999999999999,85.91539169498597
12.899999999999999,13.162100135377212
12.999999999999998,63.53622524079244
13.099999999999998,98.87218563970482
13.2,62.13796952994818
13.299999999999999,52.54548757089292
13.399999999999999,24.8810720975732
13.499999999999998,73.83164170443138
13.599999999999998,57.449887787259875
13.7,77.00164973938688
13.799999999999999,46.45382016832403
13.899999999999999,27.1587457437371
13.999999999999998,53.93076923011979
14.099999999999998,92.3012546466103
14.2,50.728911690510174
14.299999999999999,30.129439539725492
14.399999999999999,69.71748353217333
14.499999999999998,36.349561765798434
14.599999999999998,56.457070512299204
14.7,71.06151010911663
14.799999999999999,60.90337296371898
14.899999999999999,61.97989274842232
14.999999999999998,61.69022080932394
15.099999999999998,96.79580460205219
15.199999999999998,69.52087543629153
15.299999999999999,49.66917699261325
15.399999999999999,53.88121197979435
15.499999999999998,20.503963379241135
15.599999999999998,14.480835893959274
15.699999999999998,95.4273733739035
