Time (s),Group_1 (g),Group_2 (g),Group_3 (g)
0.0,-0.428401,0.503263,-0.429593
0.001000100010001,0.588616,0.290505,0.376628
0.002000200020002,-0.712444,-0.531644,0.33521
0.003000300030003,0.811509,1.300859,-1.675288
0.004000400040004,-0.424802,-0.917648,-0.403485
0.005000500050005001,1.050423,0.994691,1.264291
0.006000600060006,-0.149095,-0.654233,0.484019
0.0070007000700070005,0.033161,0.759367,-0.646613
0.008000800080008,0.435045,0.304761,-0.387599
0.009000900090009001,-1.167608,-0.303347,0.259654
0.010001000100010001,0.830254,0.857359,0.670236
0.011001100110011002,-0.79954,-1.382684,-1.294235
0.012001200120012,0.978058,0.841533,-0.858031
0.013001300130013,-1.035639,-1.01671,1.300033
0.014001400140014001,0.140976,0.751074,0.807055
0.015001500150015001,-0.051371,-0.360022,-0.882977
0.016001600160016,-0.942631,0.291441,-0.60343
0.017001700170017002,0.584145,0.418931,0.951337
0.018001800180018002,-0.583036,-0.397844,0.598864
0.019001900190019003,0.592368,1.101882,-1.010143
0.020002000200020003,-0.464292,-0.733153,-0.397114
0.021002100210021003,0.461938,0.940276,0.677048
0.022002200220022004,0.339525,-0.827233,0.709911
0.023002300230023004,-0.663725,-0.191446,-0.629249
0.024002400240024,0.536942,-0.15364,-0.933637
0.025002500250025,-1.10677,-0.691271,0.858857
0.026002600260026,1.506246,0.785392,0.71761
0.027002700270027002,-0.581006,-1.087931,-0.371895
0.028002800280028002,0.677971,0.620536,-0.84008
0.029002900290029002,0.087765,-1.11335,0.954455
0.030003000300030003,-0.551039,0.505036,-0.136553
0.031003100310031003,0.824559,-0.738054,-0.312974
0.032003200320032,-1.20341,-0.239015,-1.423768
0.033003300330033,1.519354,0.433872,0.411786
0.034003400340034004,-0.431361,-0.800588,0.630356
0.035003500350035,0.169954,0.694767,-0.480194
0.036003600360036005,0.202465,-0.619473,-1.126542
0.037003700370037,-0.662296,1.007215,0.634279
0.038003800380038005,0.167517,-0.65755,0.784612
0.039003900390039,-1.181761,0.400852,-0.499829
0.040004000400040006,0.724922,-0.05781,-1.006559
0.041004100410041,-0.827113,-0.507556,0.551778
0.04200420042004201,0.652353,0.91303,0.875547
0.043004300430043,-0.142963,-0.539717,-0.481031
0.04400440044004401,-0.575496,0.581486,-0.86837
0.045004500450045004,0.283193,-0.930015,0.462722
0.04600460046004601,-0.695441,1.305063,0.60089
0.047004700470047005,1.260189,-0.261071,-0.531274
0.048004800480048,-1.393282,0.210334,-0.935873
0.049004900490049005,0.404977,0.747056,-0.377183
0.05000500050005,0.011151,-1.252549,0.863114
0.051005100510051006,-0.234254,0.681083,-0.124763
0.052005200520052,0.298825,-1.185172,-0.928813
0.05300530053005301,-0.863563,0.587592,-0.537457
0.054005400540054004,1.380441,-0.666164,1.455279
0.05500550055005501,-0.939617,0.293359,-0.283495
0.056005600560056004,0.640809,0.139321,-1.442596
0.05700570057005701,-0.264492,-0.431641,-0.084737
0.058005800580058005,-0.553488,0.593033,1.291635
0.05900590059005901,0.358523,-0.738814,-0.168074
0.060006000600060005,-0.486974,0.835001,-1.242328
0.06100610061006101,1.04951,-1.02956,-1.396208
0.062006200620062006,-0.660409,0.123594,0.927491
